agent_a,agent_b,wins_a,wins_b,ties,errors,games,mean_margin_a
fallow_finn,wheat_walter,0,6,0,0,6,-4178.3
fallow_finn,rotation_rosa,0,6,0,0,6,-9243.7
fallow_finn,homestead_hana,0,6,0,0,6,-14120.3
fallow_finn,melon_mateo,0,6,0,0,6,-23967.8
fallow_finn,rancher_rita,0,6,0,0,6,-48826.2
fallow_finn,broker_bea,0,6,0,0,6,-185337.3
fallow_finn,slotter_silas,0,6,0,0,6,-184423.3
fallow_finn,ledger_lena,0,6,0,0,6,-185591.8
fallow_finn,closer_cleo,0,6,0,0,6,-182391.0
wheat_walter,rotation_rosa,0,6,0,0,6,-5162.3
wheat_walter,homestead_hana,0,6,0,0,6,-9437.2
wheat_walter,melon_mateo,0,6,0,0,6,-14757.2
wheat_walter,rancher_rita,0,6,0,0,6,-40952.8
wheat_walter,broker_bea,0,6,0,0,6,-174066.3
wheat_walter,slotter_silas,0,6,0,0,6,-173163.2
wheat_walter,ledger_lena,0,6,0,0,6,-174186.8
wheat_walter,closer_cleo,0,6,0,0,6,-179341.8
rotation_rosa,homestead_hana,0,6,0,0,6,-2240.2
rotation_rosa,melon_mateo,0,6,0,0,6,-6489.3
rotation_rosa,rancher_rita,0,6,0,0,6,-40010.0
rotation_rosa,broker_bea,0,6,0,0,6,-165314.8
rotation_rosa,slotter_silas,0,6,0,0,6,-164287.5
rotation_rosa,ledger_lena,0,6,0,0,6,-165322.3
rotation_rosa,closer_cleo,0,6,0,0,6,-169771.2
homestead_hana,melon_mateo,0,6,0,0,6,-16624.8
homestead_hana,rancher_rita,0,6,0,0,6,-38718.8
homestead_hana,broker_bea,0,6,0,0,6,-175176.3
homestead_hana,slotter_silas,0,6,0,0,6,-174246.3
homestead_hana,ledger_lena,0,6,0,0,6,-175305.5
homestead_hana,closer_cleo,0,6,0,0,6,-170772.3
melon_mateo,rancher_rita,0,6,0,0,6,-25499.2
melon_mateo,broker_bea,0,6,0,0,6,-153107.7
melon_mateo,slotter_silas,0,6,0,0,6,-152415.8
melon_mateo,ledger_lena,0,6,0,0,6,-153449.7
melon_mateo,closer_cleo,0,6,0,0,6,-145484.2
rancher_rita,broker_bea,0,6,0,0,6,-128040.7
rancher_rita,slotter_silas,0,6,0,0,6,-127121.3
rancher_rita,ledger_lena,0,6,0,0,6,-128031.5
rancher_rita,closer_cleo,0,6,0,0,6,-128659.2
broker_bea,slotter_silas,0,6,0,0,6,-4234.5
broker_bea,ledger_lena,0,6,0,0,6,-5097.0
broker_bea,closer_cleo,0,6,0,0,6,-3926.7
slotter_silas,ledger_lena,5,1,0,0,6,2033.3
slotter_silas,closer_cleo,0,6,0,0,6,-4785.3
ledger_lena,closer_cleo,0,6,0,0,6,-3468.3
